p2/orbit/p2.eclipse.plugin/org.apache.commons.jxpath/1.3.0.v200911051830, Apache-2.0, approved, CQ10790
p2/orbit/p2.eclipse.plugin/org.apache.commons.lang3/3.12.0.v20221221-1931, Apache-2.0, approved, #2077
p2/orbit/p2.eclipse.plugin/org.apache.commons.logging.source/1.2.0.v20180409-1502, Apache-2.0, approved, CQ10162
p2/orbit/p2.eclipse.plugin/org.apache.commons.logging/1.2.0.v20180409-1502, Apache-2.0, approved, CQ10162
p2/orbit/p2.eclipse.plugin/org.apache.commons.math3/3.6.1.v20221112-0806, Apache-2.0 AND BSD-3-Clause AND BSD-2-Clause, approved, CQ22025
p2/orbit/p2.eclipse.plugin/org.apache.httpcomponents.client5.httpclient5-win.source/5.1.3.v20221013-1742, Apache-2.0 AND MIT, approved, #1828
p2/orbit/p2.eclipse.plugin/org.apache.httpcomponents.client5.httpclient5-win/5.1.3.v20221013-1742, Apache-2.0 AND MIT, approved, #1828
p2/orbit/p2.eclipse.plugin/org.apache.httpcomponents.client5.httpclient5.source/5.1.3.v20221013-1742, Apache-2.0, approved, #6276
p2/orbit/p2.eclipse.plugin/org.apache.httpcomponents.client5.httpclient5/5.1.3.v20221013-1742, Apache-2.0, approved, #6276
p2/orbit/p2.eclipse.plugin/org.apache.httpcomponents.core5.httpcore5-h2.source/5.1.4.v20221013-1742, Apache-2.0, approved, #3934
p2/orbit/p2.eclipse.plugin/org.apache.httpcomponents.core5.httpcore5-h2/5.1.4.v20221013-1742, Apache-2.0, approved, #3934
p2/orbit/p2.eclipse.plugin/org.apache.httpcomponents.core5.httpcore5.source/5.1.4.v20221013-1742, Apache-2.0, approved, #3945
p2/orbit/p2.eclipse.plugin/org.apache.httpcomponents.core5.httpcore5/5.1.4.v20221013-1742, Apache-2.0, approved, #3945
p2/orbit/p2.eclipse.plugin/org.apache.httpcomponents.httpclient/4.5.13.v20221112-0806, Apache-2.0 AND LicenseRef-Public-Domain, approved, CQ23527
p2/orbit/p2.eclipse.plugin/org.apache.httpcomponents.httpcore/4.4.16.v20221207-1049, Apache-2.0, approved, CQ23528
p2/orbit/p2.eclipse.plugin/org.apache.jasper.glassfish.source/2.2.2.v201501141630, , approved, CQ4711
p2/orbit/p2.eclipse.plugin/org.apache.jasper.glassfish/2.2.2.v201501141630, , approved, CQ4711
p2/orbit/p2.eclipse.plugin/org.apache.lucene.analysis-common.source/9.4.2.v20221211-0752, Apache-2.0 AND BSD-2-Clause AND BSD-3-Clause AND CC-BY-SA-3.0 AND ICU  AND LicenseRef-scancode-unicode-mappings AND MIT AND Python-2.0, approved, #5864
p2/orbit/p2.eclipse.plugin/org.apache.lucene.analysis-common/9.4.2.v20221211-0752, Apache-2.0 AND BSD-2-Clause AND BSD-3-Clause AND CC-BY-SA-3.0 AND ICU  AND LicenseRef-scancode-unicode-mappings AND MIT AND Python-2.0, approved, #5864
p2/orbit/p2.eclipse.plugin/org.apache.lucene.analysis-smartcn.source/9.4.2.v20221211-0752, Apache-2.0, approved, CQ21520
p2/orbit/p2.eclipse.plugin/org.apache.lucene.analysis-smartcn/9.4.2.v20221211-0752, Apache-2.0, approved, CQ21520
p2/orbit/p2.eclipse.plugin/org.apache.lucene.core.source/9.4.2.v20221211-0752, Apache-2.0 AND MIT AND BSD-3-Clause, approved, CQ21518
p2/orbit/p2.eclipse.plugin/org.apache.lucene.core/9.4.2.v20221211-0752, Apache-2.0 AND MIT AND BSD-3-Clause, approved, CQ21518
p2/orbit/p2.eclipse.plugin/org.apache.xmlgraphics.source/2.7.0.v20221018-0736, Apache-2.0, approved, 3367
p2/orbit/p2.eclipse.plugin/org.apache.xmlgraphics/2.7.0.v20221018-0736, Apache-2.0, approved, 3367
p2/orbit/p2.eclipse.plugin/org.eclipse.ant.core.source/3.6.500.v20220718-1722, EPL-2.0, approved, eclipse.platform
p2/orbit/p2.eclipse.plugin/org.eclipse.ant.core/3.6.500.v20220718-1722, EPL-2.0, approved, eclipse.platform
p2/orbit/p2.eclipse.plugin/org.eclipse.ant.launching.source/1.3.400.v20220718-1722, EPL-2.0, approved, eclipse.platform
p2/orbit/p2.eclipse.plugin/org.eclipse.ant.launching/1.3.400.v20220718-1722, EPL-2.0, approved, eclipse.platform
p2/orbit/p2.eclipse.plugin/org.eclipse.ant.ui.source/3.8.300.v20220718-1722, EPL-2.0, approved, eclipse.platform
p2/orbit/p2.eclipse.plugin/org.eclipse.ant.ui/3.8.300.v20220718-1722, EPL-2.0, approved, eclipse.platform
p2/orbit/p2.eclipse.plugin/org.eclipse.compare.core.source/3.7.100.v20220812-1406, EPL-2.0, approved, eclipse.platform
p2/orbit/p2.eclipse.plugin/org.eclipse.compare.core/3.7.100.v20220812-1406, EPL-2.0, approved, eclipse.platform
